intrusion_detection_start:  2019-02-27 09:15:44
target_indices:  tensor([1, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([1, 0, 0, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 1, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 0, 1, 0])
target_indices:  tensor([1, 0, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 1, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([1, 1, 1, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 1, 1, 1])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 1, 0, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([1, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 1, 1, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 1, 1, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([1, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 1, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([1, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 1, 1, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 1, 1, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 0, 1, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 1, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 1, 1, 1])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 1, 1, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 1, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 1, 1, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([1, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 1, 1, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 1, 1, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([1, 0, 1, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([1, 1, 1, 1])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 0, 1, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([1, 1, 1, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([1, 1, 1, 1])
target_indices:  tensor([0, 0, 0, 1]) tensor([1, 1, 1, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([1, 1, 1, 1])
target_indices:  tensor([0, 0, 0, 1]) tensor([1, 1, 1, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([1, 1, 0, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([1, 0, 1, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 1, 0, 1])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 1, 1, 0])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 1, 1])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([1, 0, 0, 0])
target_indices:  tensor([1, 0, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 0, 0]) tensor([1, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([1, 1, 1, 1]) tensor([1, 0, 0, 0])
target_indices:  tensor([1, 0, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 1, 1, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 1])
target_indices:  tensor([0, 1, 1, 1]) tensor([1, 1, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([1, 1, 0, 1])
target_indices:  tensor([0, 0, 1, 1]) tensor([1, 1, 0, 0])
target_indices:  tensor([1, 0, 0, 0]) tensor([0, 1, 1, 1])
target_indices:  tensor([0, 0, 0, 1]) tensor([1, 1, 1, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 1, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([1, 1, 1, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([1, 1, 1, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([1, 1, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 1, 1]) tensor([0, 0, 1, 0])
target_indices:  tensor([1, 1, 1, 1]) tensor([0, 0, 0, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 1, 1, 1])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 1, 1, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 1]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 0, 0]) tensor([1, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([1, 1, 1, 0]) tensor([0, 0, 1, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
target_indices:  tensor([0, 0, 0, 0]) tensor([0, 0, 0, 0])
